Sr_No,video_Title,video_description,likes,video_url
2,How Jaiyesh Cracked Data Science Job In Siemens From Petroleum Engineering @iNeuroniNtelligence,Cracking a data science job becomes easy when you follow a disciplined routine and process. Hear out Jaiyesh Story how he cracked data sscience job in SiemensTimestamp:,79,https://www.youtube.com/watch?v=Tyf1XrbDNrs
3,Will Chatgpt Kill Your Creativity?,Best Affordable Data Science Course From Pwskills(6-7 Months)Impact Batch:- Data-Science-Masters (Full Stack Data Science),142,https://www.youtube.com/watch?v=0m2r9elReBY
4,Successful Data Science Career Transition Of Shiva To Cisco With High Package @iNeuroniNtelligence,Best Affordable Data Science Course From Pwskills(6-7 Months)Impact Batch:- Data-Science-Masters (Full Stack Data Science),129,https://www.youtube.com/watch?v=bO5NzPWakPs
5,How Raghav Got 6 Offers In Data Science Coming From Non Technical Domain @iNeuroniNtelligence,,356,https://www.youtube.com/watch?v=0vnaw8soiO4
6,Sucessful Transition Story From Mechanical Eng ,UPSC Aspirant To Data Analyst Apprentice At Google,,164,https://www.youtube.com/watch?v=AcAmDZcmVMM
7,Can We Earn More From FreeLancing Than Full time Jobs? Steps To Start Your Free Lancing Career,Starting a freelancing career can be an exciting and fulfilling way to work on your own terms and build a stable income. To begin, start by identifying your skills and what services you can offer as a freelancer. Next, create a portfolio that showcases your work and set up profiles on popular freelancing ,278,https://www.youtube.com/watch?v=MQDqGpmB_kQ
8,Google Chatbot Alternative To ChatGPT- Who Will Win?,Google is testing ChatGPT-like products that use its LaMDA technology, according to sources and internal documents acquired by CNBC.Check the below article,372,https://www.youtube.com/watch?v=ePWQwNWwWfQ
9,How To Build Ideas For Real World Data Science Projects For Interviews,Building Real World Data Science Project is a creative process 1. Find out the data scource. Look For a real World dataset,399,https://www.youtube.com/watch?v=qgf4_5ximzI
10,Reality Of Data Science Work- What We Learn Vs What We Work In Industries,In reality, data science work often involves more data cleaning, preprocessing, and feature engineering than the more glamorous tasks like model building and deployment. The difference between what is learned in academia and what is practiced in industry is often due to the emphasis placed on,1K,https://www.youtube.com/watch?v=HbLA-8vvc_U
11,AvgWord2vec Indepth Intuition And Practical Implementation,Word2vec is a popular technique for modelling word similarity by creating word vectors. It's a method that uses neural networks to model word-to-word relationships. Basically, the algorithm takes a large corpus of text as input and produces a vector, known as a context vector, as output,76,https://www.youtube.com/watch?v=cyvkMFZnheo
12,Word Embeddings, Word2Vec And CBOW Indepth Intuition And Working- Part 1 | NLP For Machine Learning,,138,https://www.youtube.com/watch?v=Q95SIG4g7SA
13,Demo Of AI Powered Nvidia Broadcast Eye Contact,,191,https://www.youtube.com/watch?v=ZX79iA7CILE
14,My Thoughts On Recent Layoffs And Recession,We at PW Skills are happy to announce below Data Science masters course Best Affordable Data Science Course From Pwskills(6-7 Months),1.3K,https://www.youtube.com/watch?v=I5UFW1ob_U4
15,PCA Indepth Geometric And Mathematical InDepth Intuition ML Algorithms,,267,https://www.youtube.com/watch?v=H99JRtDDnvk
16,I Used Chatgpt To Create My Own Private Web Browser,,475,https://www.youtube.com/watch?v=cTkPug1q8Pk
17,Data Collection Stratergy For Machine Learning Projects With API's- RapidAPI,Millions of developers use the RapidAPI platform to build, use, and share thousands of APIsYour development teams, partners and customers can discover and connect to your APIs — all from a single, next-generation API Platform. RapidAPI Enterprise can be customized to match your c,431,https://www.youtube.com/watch?v=G7W1LzhbfGE
18,Why To Choose Data Science As A Career In 2023?,Data science is a rapidly growing field with many job opportunities in a variety of industries. Organizations are increasingly recognizing the value of data in informing their decision-making, and as a result, there is a high demand for professionals with the skills to collect, analyze, and interpre,755,https://www.youtube.com/watch?v=dcGwuETxhrk
19,The Ultimate 2023 Data Analyst Roadmap: From Zero to Hero|Krish Naik,,1.6K,https://www.youtube.com/watch?v=xSCeY4dg17Y
20,Top 6 CI/CD Tools for MLOPS Engineers,We at PW Skills are happy to announce below Data Science BatchImpact Batch:- Data-Science-Masters (Full Stack Data Science),216,https://www.youtube.com/watch?v=5tjk-wecXLc
21,6 Months Data Science RoadMap 2023,,2.2K,https://www.youtube.com/watch?v=NWzbdWf7Yts
22,Create Amazing Data Science Resume Using ChatGPT- Try It Out,We at PW Skills are happy to announce below Data Science BatchImpact Batch:- Data-Science-Masters (Full Stack Data Science),673,https://www.youtube.com/watch?v=QLs5qXJvaEQ
23,Amazing Data Science Content In 2023,We at PW Skills are happy to announce below Data Science BatchImpact Batch:- Data-Science-Masters (Full Stack Data Science),715,https://www.youtube.com/watch?v=P99OTAXqowo
24,Amazing Things That ChatGPT Can Do!!,,406,https://www.youtube.com/watch?v=Wj_SPwjqFxE
25,A New Revolution For Tech Education | Democratizing The Future of Education,As per our commitment to delivering technology-related knowledge, we are happy to announcePW Skills is collaborating with iNeuron a tech-centric ed-tech organization to revolutionize th,478,https://www.youtube.com/watch?v=Gd2B3kUE6Y4
26,One Thing You Need To Acquire To Learn Any Technology- Must Watch,As we have come to the year end all the courses in ineuron will be available at 50% off. Utilize this opportunity and share it with your friends. ,874,https://www.youtube.com/watch?v=leW-sM3Gr-I
27,Black Friday Sales 50% off On All Courses And Mobile App Announcement @iNeuroniNtelligence,As we have come to the year end all the courses in ineuron will be available at 50% off. Utilize this opportunity and share it with your friends. ,157,https://www.youtube.com/watch?v=zLYy195oIIY
28,All Possible Ways To Apply Jobs In Data Science Industry,Last 4 days for the launch of  new Machine Learning BootcampStart Date:,1K,https://www.youtube.com/watch?v=VbaJ7eL9qFM
29,Companies That Are Hiring Aggressively For Data Science or Data Analytics Roles,,2.3K,https://www.youtube.com/watch?v=VpkM6IiaJVU
30,Best MLOPS Architecture For Data Science Projects,Check out best courses in ineuron With 30% off on this festive offerDISCOUNT CODE - KRISH30DISCOUNT LINK:-,360,https://www.youtube.com/watch?v=UyKjK0DnTaE
31,Full Stack Data Analytics 2.0 Live Batch- Best Course For Data Analyst,Last 2 days for the launch of  new Full Stack Data Analytics 2.0 with Placement AssistanceDate : 12th November,193,https://www.youtube.com/watch?v=cLHM0BNC_No
32,When Are We Launching iNeuron Mobile App- Both IOS And Android,Last 3 days for the launch of  new Full Stack Data Analytics 2.0 with Placement AssistanceDate : 12th November,272,https://www.youtube.com/watch?v=yrdPuJO31BE
33,Is Recession Coming? What You Should Do?,,2.9K,https://www.youtube.com/watch?v=X9i8TtfaI8A
35,Now Developing Your Deep Learning Application Is Easy Using Neurolab,,217,https://www.youtube.com/watch?v=ECxPOgjz_B8
37,ML Project Implementation And Deployment Using NeuroLab @iNeuroniNtelligence,,222,https://www.youtube.com/watch?v=-onwtlyBeZo
39,The Best Course For Data Science Starters With Neuro Lab @iNeuroniNtelligence,Check out best courses in ineuron With 30% off on this festive offerDISCOUNT CODE - KRISH30DISCOUNT LINK:-,214,https://www.youtube.com/watch?v=LDjtAGUvREk
40,We Are Working Hard For The Virtual Lab @iNeuroniNtelligence Happy Diwali All,Happy Diwali Everyone.,359,https://www.youtube.com/watch?v=O0hwpT_I19w
41,Need All Your Help To Test NeuroLabs Coding Platform Today At 6pm,,248,https://www.youtube.com/watch?v=8LP3s5rN70o
43,The Best Course For Data Analyst,Hello Guys,We at @iNeuron Intelligence  are happy to announce the most requested batch of the year i.e the Full Stack Data Analytics 2.0. This batch is starting from 12th November 2022 with class timings ,285,https://www.youtube.com/watch?v=sOEGU_UWQUw
44,We Have An Amazing Gift For Every Developers And Coders @iNeuroniNtelligence,Hello Guys,We at @iNeuron Intelligence  are happy to announce the most requested batch of the year i.e the Full Stack Data Analytics 2.0. This batch is starting from 12th November 2022 with class timings ,4.9K,https://www.youtube.com/watch?v=McBWLEoY9fk
45,Live Full Stack Data Analytics Bootcamp 2.0 Course For Data Analyst @iNeuroniNtelligence,Hello Guys,We at @iNeuron Intelligence  are happy to announce the most requested batch of the year i.e the Full Stack Data Analytics 2.0. This batch is starting from 12th November 2022 with class timings ,300,https://www.youtube.com/watch?v=_8TJTi3WMjw
46,Power Of Internship For Your First Data Science Job- Transition Story Of Rohan,,798,https://www.youtube.com/watch?v=CLvqX15_UA4
47,RoadMap For 30 Days Data Science Interview Preparation With Materials @iNeuroniNtelligence,,1.8K,https://www.youtube.com/watch?v=QnDIY-nRHPw
49,Resume Discussion To Crack Data Science Jobs For Freshers- Just Follow The Process,,1.3K,https://www.youtube.com/watch?v=wr6Abu-aDsA
50,New Research-How To Stay Updated In AI-Action And Text To Motion Models Using AI,iNeuron has launched a new Dussehra offer SPECIAL 30% OFF across all iNeuron products such as job guarantee courses & worlds first OTT platform for education (200+ Courses),165,https://www.youtube.com/watch?v=SvgOCCwsroY
51,Do Not Miss This Opportunity From @iNeuroniNtelligence - Start Getting Skilled,iNeuron has launched a new Dussehra offer SPECIAL 30% OFF across all iNeuron products such as job guarantee courses & worlds first OTT platform for education (200+ Courses),178,https://www.youtube.com/watch?v=lO01XcR-gH0
52,Amazing AI Use Cases-Google Cloud ML Increases On Time Flight Using Wind Forecasting,,238,https://www.youtube.com/watch?v=pRbW2G4rVrw
53,Complete RoadMap To Learn AIOPS or MLOPS,You can still join the Data Science Industry Ready Projects Course which started on 24th September. In this course we will be learning how to implement end to end data science projects with deployments, data pipeline implementation, ml pipeline implementation.Check out the course below and av,792,https://www.youtube.com/watch?v=f8AtpzmRzFc
54,This Is How We Teach In Ineuron: Introduction Session Industry Ready Projects,,300,https://www.youtube.com/watch?v=OK-7VsVVejg
55,Data Science Industry Ready Project Course Announcement For Everyone-24th September,,468,https://www.youtube.com/watch?v=5W9QiJo95Ws
56,Detailed Interview Process To Crack FAANG Companies- Ft:@PriyaBhatia,,217,https://www.youtube.com/watch?v=IesLltOZZhY
57,Roadmap To Crack Your First Data Science Job,Hello All,Today we are Launching Full Stack Data Scientist Bootcamp 2.0 With job guaranteed starting from September 17th 2022 from 03:00 PM to 06:00 PM (IST) Saturday - Sunday and 6pm-8pm will ,982,https://www.youtube.com/watch?v=V20ZZt8lVxM
58,Detailed Roadmap To Learn Data Stuctures And Algorithms Ft: @PriyaBhatia,,666,https://www.youtube.com/watch?v=IX4QhQlJoDg
59,Data Science Jobs And Salary Are Booming!! Watch This Video To Know How?,,997,https://www.youtube.com/watch?v=QZMWr0BOeQA
60,How 5 Years Career Gap Student Made A Transition to Data Science- Ft: @iNeuroniNtelligence,,801,https://www.youtube.com/watch?v=FzwJoHawwwI
61,Last Day To Avail 30% off On All Courses @iNeuroniNtelligence,Today is the last day for the offering of 30% off on all the courses  @iNeuron Intelligence  . Use Krish30 as the coupon code. Happy Learning!!Check out all the courses link below. This offer is valid till 11th September,75,https://www.youtube.com/watch?v=2CRY5BYf-js
62,Why Statistics Is Super Important For Data Science? Must Watch,,427,https://www.youtube.com/watch?v=pZakG-kIt_o
63,Solving FAANG DSA Interview Questions With Its Implementation,,161,https://www.youtube.com/watch?v=4VVhwfVf1k8
65,Neuro Labs Demo-Dont Worry About High Configuration Laptops @iNeuroniNtelligence,FSDS BootCamp 2.0 Course Link: bit.ly/3qalRaFHappy Teacher's Day. On the occasion of this auspicious day we at @iNeuron Intelligence are offering 30% off on all the courses. Use Krish30 as the coupon code. Happy Learning!!,215,https://www.youtube.com/watch?v=dPARXQO8dkw
66,Full Stack Data Science Bootcamp 2.0 With Job Guaranteed Course Announcement,FSDS BootCamp 2.0 Course Link: bit.ly/3qalRaFHappy Teacher's Day. On the occasion of this auspicious day we at @iNeuron Intelligence are offering 30% off on all the courses. Use Krish30 as the coupon code. Happy Learning!!,365,https://www.youtube.com/watch?v=tpXu2DnK9HA
67,Messages From Our Students -Teachers Day@Telusko @saurabhexponent1 @HiteshChoudharydotcom @MahatmajiTechnical,Happy Teacher's Day. On the occasion of this auspicious day we at @iNeuron Intelligence are offering 30% off on all the courses. Use Krish30 as the coupon code. Happy Learning!!,125,https://www.youtube.com/watch?v=58RsdQXG0IA
68,Announcing NeuroLab- World's First Free Community Coding Platform Ft: @iNeuroniNtelligence,In the Neurolabs we will be providing access to amazing IDE's such as jupyterlab, vscode and soon we will be coming up with mysql,cassandra,AWS,Azure and many more.Visit ineuron.ai,1K,https://www.youtube.com/watch?v=oUlAJe4Tp8o
69,Complete RoadMap To Learn Computer Vision,In this video we are going to dicuss about the complete roadmap to learn computer vision with help of amazing libraries like opencv, python, tensorflow.Computer vision is a subfield of Artificial Intelligence which aims to make machines intellige,594,https://www.youtube.com/watch?v=jLcuVu5xdDo
70,Hyperparameter Tuning Using Machine Learning Pipelines,,262,https://www.youtube.com/watch?v=82fPl5l0vXY
71,Solve this Data Science Interview Question From Product Based Company,Solve this Data Science interview question of Product based company-------------------------------------------------------------------------------------------------------------All Playlist in my channel,245,https://www.youtube.com/watch?v=bDJkMOvhAmc
72,FAANG Interview DSA Series-Heap Sort,Binary Tree,Min Heap and Max Heap Tree AND Interview Questions,,137,https://www.youtube.com/watch?v=AxALCZMo01Y
73,Implementing Machine Learninng Pipelines USsing Sklearn And Python,,809,https://www.youtube.com/watch?v=HZ9MUzCRlzI
74,FAANG DSA Series-Discussing Sorting Algorithms-Selection, Bubble and Insertion Sort- Ft Priya Bhatia,In this video we will be discussing about all the sorting algorithms such as selection sor ,bubble sort and insertion sort.Do subscribe Priya Youtube channel for more DSA videos.,106,https://www.youtube.com/watch?v=h9pB1RaTa2U
75,End To End Machine Learning Project Implementation With Dockers,Github Actions And Deployment,,3.4K,https://www.youtube.com/watch?v=MJ1vWb1rGwM
76,How To Prepare And Overcome Fear In Maths For Data Science- Follow This Approach,In this video I will talk about how we can overcome our fear and prepare  with maths for data science.-------------------------------------------------------------------------------------------------------------All Playlist in my channel,293,https://www.youtube.com/watch?v=Pp6CO2_YEDE
77,DSA-Discussing All Search Algorithms With Interview Based Questions- Ft: Priya Bhatia,,335,https://www.youtube.com/watch?v=-se8_ESCUTQ
78,Trackersheet That Can Make You From Zero To HERO In Data Science,,1K,https://www.youtube.com/watch?v=qJJEf6p8xH0
79,Cracking Data Science Interview Is Easy By This Approach!! Solve this Problem,In this video we will discuss about the recent interview experience of one of my subscriber and student of ineuron whi cracked a job in product based company and yes he cracked it.Check out our 30 days Data Science Interview course,784,https://www.youtube.com/watch?v=VC2BL_ChGeg
80,Just Watch!!,,599,https://www.youtube.com/watch?v=C0KW4MvNbIQ
81,Meet My Son Krishiv Naik @krishivnaikvlogs8998,,1.7K,https://www.youtube.com/watch?v=JneXvhlJW_k
82,Quick CheatSheet To Prepare For Statistics For Data Analyst And Data Scientist,,1.1K,https://www.youtube.com/watch?v=ITyGQpyMV_w
83,How To Get 1cr Data Scientist Package?,This was just an experimentation video to check how many people will click this link------------------------------------------------------------------------------------------------------------------------All Playlist in my channel,1.1K,https://www.youtube.com/watch?v=8-tyWaOFBPU
84,Data Science Mock Interview iNeuron FSDS Batch With Feedbacks,This was the recent data science mock interview conducted from ineuron FSDS Batch ------------------------------------------------------------------------------------------------------------------------All Playlist in my channel,467,https://www.youtube.com/watch?v=uwQYAH5MC8c
85,Use This Way Of Training Machine Learning Models For Efficiency,Check our coursesTechNeuron: 200+courses Lifetime Warranty,1.2K,https://www.youtube.com/watch?v=7uLzGRlXXDw
86,3 Months Updated RoadMap To Learn Machine Learning With Videos And Materials,,731,https://www.youtube.com/watch?v=9di4_ZJqawU
88,Visualizing High Dimension Data Using UMAP Is A Piece Of Cake Now,,555,https://www.youtube.com/watch?v=015vL0cJfA0
89,Advance NLP Series Announcement- Happy 76th Independence Day,,353,https://www.youtube.com/watch?v=gfvil_XC-kE
90,DSA Series-Lets Become a Pro In Queues Data Structures,A Queue is a linear structure which follows a particular order in which the operations are performed. The order is First In First Out (FIFO). A good example of a queue is any queue of consumers for a resource where the consumer that came first is served first. The difference between stacks and queue,126,https://www.youtube.com/watch?v=k2pofjdxkZ8
91,DSA Series-Lets Become a Pro In Stacks Data Structures,Stack is a linear data structure which follows a particular order in which the operations are performed. The order may be LIFO(Last In First Out) or FILO(First In Last Out).There are many real-life examples of a stack. Consider an example of plates stacked over on,212,https://www.youtube.com/watch?v=A3Xx8qaH8CQ
92,How I Easily Optimized My Blogging Website In Minutes With 10Web Booster,In this video, I've shown you how a SIMPLE WordPress Plugin will do for your website! With this easy tool at your fingertips in a matter of clicks, your page speed score will be over 90+.,60,https://www.youtube.com/watch?v=uqbIXNKL2OA
93,Automate EDA And Python Coding Using Mito Library,,323,https://www.youtube.com/watch?v=iyrEVohGQMM
94,Let's Crack Any Data Structures And Algorithms Interviews- Amazing Announcement,,527,https://www.youtube.com/watch?v=r_NxVNbA034
95,Can You Solve These Data Science Usecases?,Usecases:1. Product Recommendation2. Facil Recognition And Product Recommendation,305,https://www.youtube.com/watch?v=ux1LX83ql_M
96,General Doubts And Queries Everybody Have Before Starting Data Science ML And AI,In this video I am going to dicuss about the common queries that many people have before starting Data science,ML and AI---------------------------------------------------------------------------------------------------------,256,https://www.youtube.com/watch?v=IaDS2y6hVUc
97,History Of Machine Learning- Dicussing The Entire Timeline,Machine learning was first conceived from the mathematical modeling of neural networks. A paper by logician Walter Pitts and neuroscientist Warren McCulloch, published in 1943, attempted to mathematically map out thought processes and decision making in human cognition.,579,https://www.youtube.com/watch?v=m_nQM_AkVfY
98,You Need Not Learn Everything In Data Science- Honest Talks,,764,https://www.youtube.com/watch?v=-rw3TtDCVRE
99,Getting Started With Dockers- All Basics Command Covered In 1 Video,Docker container technology was launched in 2013 as an open source Docker Engine.It leveraged existing computing concepts around containers and specifically in the Linux worl,157,https://www.youtube.com/watch?v=vnAN9pmgc2g
100,Out Of Bag Evaluation(OOB) And OOB Score Or Error In Random Forest,Out-of-bag (OOB) error, also called out-of-bag estimate, is a method of measuring the prediction error of random forests, boosted decision trees, and other machine learning models utilizing bootstrap aggregating (bagging). Bagging uses subsampling with replacement to create training sampl,172,https://www.youtube.com/watch?v=fXfs_6o_hOs
101,Part 3-Git And Github Series- Resolving Git Branch Merge Conflicts In Simple Steps With Commands,Git is the free and open source distributed version control system that's responsible for everything GitHub related that happens locally on your computer.With platform specific installers for Git, GitHub also provides the,148,https://www.youtube.com/watch?v=J_TLvwNYliM
102,How To Deploy Machine Learning Models Using Docker And Github Action In Heroku,,663,https://www.youtube.com/watch?v=Gs15V79cauo
103,Part 2-Git And Github Series- Git Merge,Push, Checkout And Log With Commands,Git is the free and open source distributed version control system that's responsible for everything GitHub related that happens locally on your computer.With platform specific installers for Git, GitHub also provides the,178,https://www.youtube.com/watch?v=SMqxisMGfYM
104,Part 1-Git And Github Series- Introduction, Installation Of Git And Understanding Basic Commands,Git is the free and open source distributed version control system that's responsible for everything GitHub related that happens locally on your computer.With platform specific installers for Git, GitHub also provides the,495,https://www.youtube.com/watch?v=GW7B6vwktPA
105,How To Apply Jobs From iNeuron Job Portal,,180,https://www.youtube.com/watch?v=Xii_iU9drSU
106,Announcing iNeuron Job Portal-Now Start Applying Jobs,,510,https://www.youtube.com/watch?v=x_6EkOA3eNk
107,Blockchain Hackathon 5.0 In Collaboration With Neo @iNeuroniNtelligence @Telusko,,64,https://www.youtube.com/watch?v=8M1d8C5Dzug
108,Can We Have Multiple Constructors In Python?,,274,https://www.youtube.com/watch?v=2_FqpMbKxf8
109,Announcing Job Guaranteed Full Stack Javascript Web Developer @HiteshChoudharydotcom |July 10th,,128,https://www.youtube.com/watch?v=4-QDspUXS9A
110,Announcing Job Guaranteed Big Data Bootcamp @iNeuroniNtelligence @shashank_mishra,,310,https://www.youtube.com/watch?v=DIvvHPO1Tyo
111,Biggest Announcement In Techneuron OTT Platform @iNeuroniNtelligence,Hello Guys,An Amazing announcement for you all. All the Live Courses that are going to come in iNeuron in the future will also be available in the TechNeuron under just 1 subscription. Currently we have 2,243,https://www.youtube.com/watch?v=41jyTiVDZ_k
112,Pro Tips For Data Science Interviews- Part 1,,385,https://www.youtube.com/watch?v=ZxAK52MAFI8
113,Hackathon 3.0 In Collaboration With Mu Sigma,,160,https://www.youtube.com/watch?v=ZphT1SdwLr0
114,Complete Statistics For Data Science In 6 hours By Krish Naik,Statistics is the discipline that concerns the collection, organization, analysis, interpretation, and presentation of data. In applying statistics to a scientific, industrial, or social problem, it is conventional to begin with a statistical population or a statistical model to be studied,4K,https://www.youtube.com/watch?v=LZzq1zSL1bs
115,Upcoming Affordable Tech Courses From @iNeuroniNtelligence,,218,https://www.youtube.com/watch?v=T8bRC-tfyf8
116,Hackathon In Collaboration With Jetbrains,,127,https://www.youtube.com/watch?v=p4VJ6TBd-dw
117,Prerequisites For NLP Live Community Session For ML And DL,,528,https://www.youtube.com/watch?v=kI8aOYA_G7k
118,Announcing NLP Live community Sessions,,626,https://www.youtube.com/watch?v=w3coRFpyddQ
119,Podcast With Shishir Chandra On System Design at MAANG,Systems design is the process of defining the architecture, product design, modules, interfaces, and data for a system to satisfy specified requirements. Systems design could be seen as the application of systems theory to product development.,95,https://www.youtube.com/watch?v=RltGhq5pCSE
120,How To Be Consistent While Learning Data Science?,One of the biggest challenges facing aspiring data scientists is consistency. If you are able to acquire incremental knowledge and skills in data science on a consistent basis, you’ll be amazed at how much knowledge you’ll accrue in a year or two.,709,https://www.youtube.com/watch?v=PNwRH0Tkin0
121,Importance Of Cybersecurity For Data Scientist,,480,https://www.youtube.com/watch?v=Hws-aaCFh5A
122,Complete Exploratory Data Analysis And Feature Engineering In 3 Hours| Krish Naik,,2.1K,https://www.youtube.com/watch?v=fHFOANOHwh8
123,Automate Financial Data Analysis Using Mito,,204,https://www.youtube.com/watch?v=_qns42BYpik
124,Life At IIt's| AI @ IIT Hyderabad| Podcast With Priya Bhatia,Artificial intelligence (AI) refers to the simulation of human intelligence in machines that are programmed to think like humans and mimic their actions. The term may also be applied to any machine that exhibits traits associated with a human mind such as learning and problem-solving.,279,https://www.youtube.com/watch?v=ouH2L639QDk
125,Announcing Data Science, ML,DL,AI Videos In Hindi @krishnaikhindi,,380,https://www.youtube.com/watch?v=lNckoqrRFbU
126,@iNeuroniNtelligence First Offline 24 hrs Hackathon With Github Community Partner,,212,https://www.youtube.com/watch?v=U7IAvO83HFs
127,Big Data Engineering RoadMap And FAANG Interview Process,,909,https://www.youtube.com/watch?v=97UYEiXRutI
128,Complete Machine Learning In 6 Hours| Krish Naik,,5.6K,https://www.youtube.com/watch?v=JxgmHe2NyeY
129,Why the Journey Matters More Than Your Goal|Motivation,,404,https://www.youtube.com/watch?v=_4zRe8qFSXY
130,Surprise Conversation With FSDS Batch Student|Sucessful Career Transition|Episode 2,Currently in iNeuron there are 3 main program that are going on. Full Stack Data science program with job guaranteed which started from May 6th(Price : 15k+ gst)-Lifetime Access,144,https://www.youtube.com/watch?v=ZEACIDuafEw
131,Podcast With Subham To Understand The Data Science Interview Process In FAANG,,916,https://www.youtube.com/watch?v=sRbiBoO9HNY
132,Deep Learning Indepth Tutorials In 5 Hours With Krish Naik,,2.4K,https://www.youtube.com/watch?v=d2kxUVwWWwU
133,Elasticnet Regression Machine Learning Algorithm Explained In Depth,Our Popular courses:- Fullstack data science job guaranteed program:-bit.ly/3JronjT,162,https://www.youtube.com/watch?v=2IAfQdAPdLY
134,Amazon Data Science Hiring Process- Part 2,Are you from a non technical or non programming background and you want tomake a career transition towards the data analytics industry.If Yes,iNeuron is coming up with a 6 months Live Full Stack Data Analytics Bootcamp with jo,421,https://www.youtube.com/watch?v=-JP3yjtK0M8
